# OBER — OLX kategoriyalari (avtomatik topilgan)
# Qo'lda tahrirlamang: kategoriya_top.py qayta yozadi.
# Jami: 802

transport/avtobusy|Transport / Avtobuslar
transport/avtozapchasti-i-aksessuary/aksessuary-dlya-avto|Transport / Avto ehtiyot qismlari va aksessuarlar / Avtomashina uchun aksessuarlar
transport/avtozapchasti-i-aksessuary/avtozapchasti|Transport / Avto ehtiyot qismlari va aksessuarlar / Avto ehtiyot qismlar
transport/avtozapchasti-i-aksessuary/avtozvuk|Transport / Avto ehtiyot qismlari va aksessuarlar / Avtotovush
transport/avtozapchasti-i-aksessuary/gps-navigatory-avtoregistratory|Transport / Avto ehtiyot qismlari va aksessuarlar / GPS-navigatorlar/avtoregistratorlar
transport/avtozapchasti-i-aksessuary/transport-na-zapchasti|Transport / Avto ehtiyot qismlari va aksessuarlar / Ehtiyot qismlarga ajratilgan transport
transport/drugoy-transport|Transport / Boshqa transport
transport/gruzovye-avtomobili|Transport / Yuk mashinalari
transport/legkovye-avtomobili/aito|Transport / Yengil avtomashinalar / Aito
transport/legkovye-avtomobili/audi|Transport / Yengil avtomashinalar / Audi
transport/legkovye-avtomobili/avatr|Transport / Yengil avtomashinalar / Avatr
transport/legkovye-avtomobili/baic|Transport / Yengil avtomashinalar / Baic
transport/legkovye-avtomobili/baw|Transport / Yengil avtomashinalar / Baw
transport/legkovye-avtomobili/beijing|Transport / Yengil avtomashinalar / Beijing
transport/legkovye-avtomobili/bestune|Transport / Yengil avtomashinalar / Bestune
transport/legkovye-avtomobili/bmw|Transport / Yengil avtomashinalar / Bmw
transport/legkovye-avtomobili/buick|Transport / Yengil avtomashinalar / Buick
transport/legkovye-avtomobili/byd|Transport / Yengil avtomashinalar / BYD
transport/legkovye-avtomobili/cadillac|Transport / Yengil avtomashinalar / Cadillac
transport/legkovye-avtomobili/changan|Transport / Yengil avtomashinalar / Changan
transport/legkovye-avtomobili/cherry|Transport / Yengil avtomashinalar / Chery
transport/legkovye-avtomobili/chevrolet|Transport / Yengil avtomashinalar / Chevrolet
transport/legkovye-avtomobili/citroen|Transport / Yengil avtomashinalar / Citroen
transport/legkovye-avtomobili/daewoo|Transport / Yengil avtomashinalar / Daewoo
transport/legkovye-avtomobili/deepal|Transport / Yengil avtomashinalar / Deepal
transport/legkovye-avtomobili/denza|Transport / Yengil avtomashinalar / Denza
transport/legkovye-avtomobili/donfeng|Transport / Yengil avtomashinalar / Dongfeng
transport/legkovye-avtomobili/drugie|Transport / Yengil avtomashinalar / Boshqalar
transport/legkovye-avtomobili/enovate|Transport / Yengil avtomashinalar / Enovate
transport/legkovye-avtomobili/faw|Transport / Yengil avtomashinalar / Faw
transport/legkovye-avtomobili/fiat|Transport / Yengil avtomashinalar / Fiat
transport/legkovye-avtomobili/ford|Transport / Yengil avtomashinalar / Ford
transport/legkovye-avtomobili/foton|Transport / Yengil avtomashinalar / Foton
transport/legkovye-avtomobili/gac|Transport / Yengil avtomashinalar / GAC
transport/legkovye-avtomobili/gaz|Transport / Yengil avtomashinalar / Gaz
transport/legkovye-avtomobili/geely|Transport / Yengil avtomashinalar / Geely
transport/legkovye-avtomobili/genesis|Transport / Yengil avtomashinalar / Genesis
transport/legkovye-avtomobili/great_wall|Transport / Yengil avtomashinalar / Great Wall
transport/legkovye-avtomobili/haval|Transport / Yengil avtomashinalar / Haval
transport/legkovye-avtomobili/honda|Transport / Yengil avtomashinalar / Honda
transport/legkovye-avtomobili/hongqi|Transport / Yengil avtomashinalar / Hongqi
transport/legkovye-avtomobili/huawei|Transport / Yengil avtomashinalar / Huawei
transport/legkovye-avtomobili/hyundai|Transport / Yengil avtomashinalar / Hyundai
transport/legkovye-avtomobili/infiniti|Transport / Yengil avtomashinalar / Infiniti
transport/legkovye-avtomobili/isuzu|Transport / Yengil avtomashinalar / Isuzu
transport/legkovye-avtomobili/izh|Transport / Yengil avtomashinalar / Izh
transport/legkovye-avtomobili/jac|Transport / Yengil avtomashinalar / JAC
transport/legkovye-avtomobili/jeep|Transport / Yengil avtomashinalar / Jeep
transport/legkovye-avtomobili/jetour|Transport / Yengil avtomashinalar / Jetour
transport/legkovye-avtomobili/kaiyi|Transport / Yengil avtomashinalar / Kaiyi
transport/legkovye-avtomobili/kgm|Transport / Yengil avtomashinalar / KGM
transport/legkovye-avtomobili/kia|Transport / Yengil avtomashinalar / Kia
transport/legkovye-avtomobili/land_rover|Transport / Yengil avtomashinalar / Land Rover
transport/legkovye-avtomobili/leapmotor|Transport / Yengil avtomashinalar / Leapmotor
transport/legkovye-avtomobili/lexus|Transport / Yengil avtomashinalar / Lexus
transport/legkovye-avtomobili/li|Transport / Yengil avtomashinalar / Li
transport/legkovye-avtomobili/lincoln|Transport / Yengil avtomashinalar / Lincoln
transport/legkovye-avtomobili/lynk|Transport / Yengil avtomashinalar / Lynk
transport/legkovye-avtomobili/mazda|Transport / Yengil avtomashinalar / Mazda
transport/legkovye-avtomobili/mercedes|Transport / Yengil avtomashinalar / Mercedes
transport/legkovye-avtomobili/mg|Transport / Yengil avtomashinalar / MG
transport/legkovye-avtomobili/mitsubishi|Transport / Yengil avtomashinalar / Mitsubishi
transport/legkovye-avtomobili/moskvich|Transport / Yengil avtomashinalar / Moskvich
transport/legkovye-avtomobili/neta|Transport / Yengil avtomashinalar / Neta
transport/legkovye-avtomobili/nio|Transport / Yengil avtomashinalar / Nio
transport/legkovye-avtomobili/nissan|Transport / Yengil avtomashinalar / Nissan
transport/legkovye-avtomobili/opel|Transport / Yengil avtomashinalar / Opel
transport/legkovye-avtomobili/ora|Transport / Yengil avtomashinalar / ORA
transport/legkovye-avtomobili/peugeot|Transport / Yengil avtomashinalar / Peugeot
transport/legkovye-avtomobili/porsche|Transport / Yengil avtomashinalar / Porsche
transport/legkovye-avtomobili/rang_rover|Transport / Yengil avtomashinalar / Rang rover
transport/legkovye-avtomobili/renault|Transport / Yengil avtomashinalar / Renault
transport/legkovye-avtomobili/rox_stone|Transport / Yengil avtomashinalar / Rox Stone
transport/legkovye-avtomobili/skoda|Transport / Yengil avtomashinalar / Skoda
transport/legkovye-avtomobili/soueast|Transport / Yengil avtomashinalar / Soueast
transport/legkovye-avtomobili/suzuki|Transport / Yengil avtomashinalar / Suzuki
transport/legkovye-avtomobili/swm|Transport / Yengil avtomashinalar / SWM
transport/legkovye-avtomobili/tesla|Transport / Yengil avtomashinalar / Tesla
transport/legkovye-avtomobili/toyota|Transport / Yengil avtomashinalar / Toyota
transport/legkovye-avtomobili/uaz|Transport / Yengil avtomashinalar / Uaz
transport/legkovye-avtomobili/vaz|Transport / Yengil avtomashinalar / Vaz
transport/legkovye-avtomobili/volkswagen|Transport / Yengil avtomashinalar / Volkswagen
